"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0016054","GO:0016054","organic acid catabolic process",79,-0.715346391665996,-2.4190298734989,1e-10,9.28e-08,7.75087719298246e-08,2247,"tags=43%, list=13%, signal=38%","Me1_v2_0226240/Me1_v2_0167070/Me1_v2_0126430/Me1_v2_0061030/Me1_v2_0062370/Me1_v2_0112150/Me1_v2_0132160/Me1_v2_0123010/Me1_v2_0058420/Me1_v2_0120920/Me1_v2_0053830/Me1_v2_0107080/Me1_v2_0050320/Me1_v2_0197960/Me1_v2_0001920/Me1_v2_0181120/Me1_v2_0036840/Me1_v2_0228210/Me1_v2_0078830/Me1_v2_0052020/Me1_v2_0085320/Me1_v2_0120640/Me1_v2_0115590/Me1_v2_0085310/Me1_v2_0102850/Me1_v2_0199730/Me1_v2_0072050/Me1_v2_0039210/Me1_v2_0190930/Me1_v2_0159980/Me1_v2_0199720/Me1_v2_0133400/Me1_v2_0080830/Me1_v2_0185340"
"GO:0046395","GO:0046395","carboxylic acid catabolic process",79,-0.715346391665996,-2.4190298734989,1e-10,9.28e-08,7.75087719298246e-08,2247,"tags=43%, list=13%, signal=38%","Me1_v2_0226240/Me1_v2_0167070/Me1_v2_0126430/Me1_v2_0061030/Me1_v2_0062370/Me1_v2_0112150/Me1_v2_0132160/Me1_v2_0123010/Me1_v2_0058420/Me1_v2_0120920/Me1_v2_0053830/Me1_v2_0107080/Me1_v2_0050320/Me1_v2_0197960/Me1_v2_0001920/Me1_v2_0181120/Me1_v2_0036840/Me1_v2_0228210/Me1_v2_0078830/Me1_v2_0052020/Me1_v2_0085320/Me1_v2_0120640/Me1_v2_0115590/Me1_v2_0085310/Me1_v2_0102850/Me1_v2_0199730/Me1_v2_0072050/Me1_v2_0039210/Me1_v2_0190930/Me1_v2_0159980/Me1_v2_0199720/Me1_v2_0133400/Me1_v2_0080830/Me1_v2_0185340"
"GO:0044282","GO:0044282","small molecule catabolic process",117,-0.630589666245862,-2.27521834207202,1e-10,9.28e-08,7.75087719298246e-08,2247,"tags=30%, list=13%, signal=26%","Me1_v2_0226240/Me1_v2_0167070/Me1_v2_0126430/Me1_v2_0061030/Me1_v2_0062370/Me1_v2_0112150/Me1_v2_0132160/Me1_v2_0156110/Me1_v2_0123010/Me1_v2_0058420/Me1_v2_0120920/Me1_v2_0053830/Me1_v2_0107080/Me1_v2_0050320/Me1_v2_0197960/Me1_v2_0001920/Me1_v2_0181120/Me1_v2_0036840/Me1_v2_0228210/Me1_v2_0078830/Me1_v2_0052020/Me1_v2_0085320/Me1_v2_0120640/Me1_v2_0115590/Me1_v2_0085310/Me1_v2_0102850/Me1_v2_0199730/Me1_v2_0072050/Me1_v2_0039210/Me1_v2_0190930/Me1_v2_0159980/Me1_v2_0199720/Me1_v2_0133400/Me1_v2_0080830/Me1_v2_0185340"
"GO:0009768","GO:0009768","photosynthesis, light harvesting in photosystem I",19,0.889581424441039,2.44830028873413,9.61350896398634e-10,6.69100223893449e-07,5.58848455301206e-07,1032,"tags=84%, list=6%, signal=79%","Me1_v2_0224350/Me1_v2_0114600/Me1_v2_0155120/Me1_v2_0073100/Me1_v2_0065960/Me1_v2_0073130/Me1_v2_0125070/Me1_v2_0124370/Me1_v2_0090340/Me1_v2_0111850/Me1_v2_0076900/Me1_v2_0090870/Me1_v2_0085670/Me1_v2_0184520/Me1_v2_0066240/Me1_v2_0204590"
"GO:0006979","GO:0006979","response to oxidative stress",218,-0.522092343539271,-2.01383106523859,1.7842555922163e-09,9.93473513746034e-07,8.29772758569642e-07,2888,"tags=31%, list=16%, signal=26%","Me1_v2_0118490/Me1_v2_0176370/Me1_v2_0030510/Me1_v2_0203040/Me1_v2_0098530/Me1_v2_0098140/Me1_v2_0079820/Me1_v2_0179600/Me1_v2_0133190/Me1_v2_0109190/Me1_v2_0077200/Me1_v2_0037630/Me1_v2_0191780/Me1_v2_0105180/Me1_v2_0232610/Me1_v2_0078600/Me1_v2_0035900/Me1_v2_0176340/Me1_v2_0229810/Me1_v2_0226620/Me1_v2_0218050/Me1_v2_0176350/Me1_v2_0227320/Me1_v2_0009250/Me1_v2_0171180/Me1_v2_0042090/Me1_v2_0052660/Me1_v2_0087740/Me1_v2_0073890/Me1_v2_0122310/Me1_v2_0080930/Me1_v2_0099470/Me1_v2_0031820/Me1_v2_0008080/Me1_v2_0217220/Me1_v2_0087730/Me1_v2_0171170/Me1_v2_0058420/Me1_v2_0134740/Me1_v2_0162590/Me1_v2_0140790/Me1_v2_0153960/Me1_v2_0140300/Me1_v2_0216110/Me1_v2_0183150/Me1_v2_0065270/Me1_v2_0191160/Me1_v2_0088300/Me1_v2_0124990/Me1_v2_0094600/Me1_v2_0114060/Me1_v2_0122760/Me1_v2_0188340/Me1_v2_0078270/Me1_v2_0083500/Me1_v2_0166130/Me1_v2_0103210/Me1_v2_0120640/Me1_v2_0133170/Me1_v2_0129030/Me1_v2_0202110/Me1_v2_0111960/Me1_v2_0103200/Me1_v2_0203050/Me1_v2_0214100/Me1_v2_0214180/Me1_v2_0214160"
"GO:0016491","GO:0016491","oxidoreductase activity",389,-0.446207840981449,-1.81480706138616,3.06675175300354e-09,1.42297281339364e-06,1.18850081094471e-06,2834,"tags=28%, list=16%, signal=24%","Me1_v2_0116120/Me1_v2_0040100/Me1_v2_0203040/Me1_v2_0172370/Me1_v2_0029880/Me1_v2_0067560/Me1_v2_0006460/Me1_v2_0108320/Me1_v2_0110800/Me1_v2_0079820/Me1_v2_0014470/Me1_v2_0039020/Me1_v2_0045120/Me1_v2_0109190/Me1_v2_0077200/Me1_v2_0069520/Me1_v2_0037630/Me1_v2_0191780/Me1_v2_0167070/Me1_v2_0165120/Me1_v2_0084770/Me1_v2_0232610/Me1_v2_0163140/Me1_v2_0080820/Me1_v2_0035900/Me1_v2_0068030/Me1_v2_0076690/Me1_v2_0069530/Me1_v2_0085360/Me1_v2_0229810/Me1_v2_0153200/Me1_v2_0226620/Me1_v2_0186690/Me1_v2_0218050/Me1_v2_0165520/Me1_v2_0227320/Me1_v2_0009250/Me1_v2_0129260/Me1_v2_0179690/Me1_v2_0029830/Me1_v2_0218030/Me1_v2_0129280/Me1_v2_0132160/Me1_v2_0156110/Me1_v2_0086670/Me1_v2_0232730/Me1_v2_0073890/Me1_v2_0109620/Me1_v2_0080930/Me1_v2_0131290/Me1_v2_0097530/Me1_v2_0181740/Me1_v2_0184670/Me1_v2_0168570/Me1_v2_0208220/Me1_v2_0134740/Me1_v2_0162590/Me1_v2_0120920/Me1_v2_0141650/Me1_v2_0188630/Me1_v2_0208550/Me1_v2_0153960/Me1_v2_0140300/Me1_v2_0107380/Me1_v2_0034490/Me1_v2_0216110/Me1_v2_0122130/Me1_v2_0107390/Me1_v2_0107080/Me1_v2_0207660/Me1_v2_0088300/Me1_v2_0102400/Me1_v2_0189820/Me1_v2_0184680/Me1_v2_0138040/Me1_v2_0162940/Me1_v2_0228450/Me1_v2_0112000/Me1_v2_0194020/Me1_v2_0091280/Me1_v2_0041870/Me1_v2_0094380/Me1_v2_0128130/Me1_v2_0162930/Me1_v2_0158220/Me1_v2_0036840/Me1_v2_0122150/Me1_v2_0038880/Me1_v2_0166130/Me1_v2_0057530/Me1_v2_0078830/Me1_v2_0120640/Me1_v2_0115590/Me1_v2_0102850/Me1_v2_0097890/Me1_v2_0199730/Me1_v2_0215180/Me1_v2_0039210/Me1_v2_0159980/Me1_v2_0199720/Me1_v2_0215170/Me1_v2_0133400/Me1_v2_0068040/Me1_v2_0074320/Me1_v2_0185340/Me1_v2_0006200/Me1_v2_0064300/Me1_v2_0130990"
"GO:0031409","GO:0031409","pigment binding",18,0.88762971784422,2.39129112028771,3.95184890791503e-09,1.57006440273563e-06,1.31135521235746e-06,1032,"tags=83%, list=6%, signal=79%","Me1_v2_0224350/Me1_v2_0114600/Me1_v2_0155120/Me1_v2_0073100/Me1_v2_0065960/Me1_v2_0073130/Me1_v2_0125070/Me1_v2_0124370/Me1_v2_0090340/Me1_v2_0111850/Me1_v2_0076900/Me1_v2_0085670/Me1_v2_0184520/Me1_v2_0066240/Me1_v2_0204590"
"GO:0009645","GO:0009645","response to low light intensity stimulus",17,0.888623788747909,2.36138808725693,4.51167931820584e-09,1.57006440273563e-06,1.31135521235746e-06,1111,"tags=71%, list=6%, signal=66%","Me1_v2_0224350/Me1_v2_0114600/Me1_v2_0155120/Me1_v2_0073100/Me1_v2_0073130/Me1_v2_0125070/Me1_v2_0090340/Me1_v2_0076900/Me1_v2_0184520/Me1_v2_0066240/Me1_v2_0204590/Me1_v2_0061590"
"GO:0005759","GO:0005759","mitochondrial matrix",86,-0.629027384350657,-2.15449187643595,1.05410700367865e-08,3.26070433137929e-06,2.72341797792531e-06,2420,"tags=33%, list=14%, signal=28%","Me1_v2_0135260/Me1_v2_0096200/Me1_v2_0074150/Me1_v2_0167070/Me1_v2_0076840/Me1_v2_0039180/Me1_v2_0132160/Me1_v2_0037540/Me1_v2_0073890/Me1_v2_0150770/Me1_v2_0207950/Me1_v2_0125100/Me1_v2_0102400/Me1_v2_0050320/Me1_v2_0194020/Me1_v2_0036840/Me1_v2_0128150/Me1_v2_0166130/Me1_v2_0085320/Me1_v2_0085310/Me1_v2_0207400/Me1_v2_0199730/Me1_v2_0042190/Me1_v2_0039210/Me1_v2_0042210/Me1_v2_0199720/Me1_v2_0080830/Me1_v2_0185340"
"GO:0051983","GO:0051983","regulation of chromosome segregation",20,0.856702211441873,2.36835050293796,1.48993788649981e-08,4.14798707601548e-06,3.46449767502956e-06,1180,"tags=40%, list=7%, signal=37%","Me1_v2_0041660/Me1_v2_0219700/Me1_v2_0234360/Me1_v2_0197210/Me1_v2_0109700/Me1_v2_0038920/Me1_v2_0146380/Me1_v2_0218700"
