"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"ko00280","ko00280","Valine, leucine and isoleucine degradation","14/266","25/2360",5.46910461083469e-08,1.05006808528026e-05,9.84438829950245e-06,"K00626/K00253/K01965/K01968/K14085/K07513/K07511/K00140/K00167/K00826/K00020/K00166/K05607/K09699",14
"ko00195","ko00195","Photosynthesis","14/266","34/2360",6.61530719372392e-06,0.000635069490597497,0.000595377647435153,"K02703/K02704/K02690/K02689/K02112/K02113/K02716/K02706/K02692/K08901/K02693/K02698/K02109/K08905",14
"ko00071","ko00071","Fatty acid degradation","7/266","11/2360",4.74290773633369e-05,0.00303546095125356,0.00284574464180021,"K00626/K14085/K07513/K07511/K10527/K00232/K01897",7
"ko01110","ko01110","Biosynthesis of secondary metabolites","68/266","410/2360",0.000223242761576075,0.0107156525556516,0.0100459242709234,"K00626/K00083/K10717/K14674/K01601/K01963/K00616/K22013/K01965/K01662/K00276/K01637/K00134/K14085/K07513/K03781/K07511/K00703/K10527/K00059/K00167/K05894/K09834/K01214/K01187/K00232/K18010/K02303/K17497/K10258/K01177/K00927/K01807/K01188/K05349/K00318/K08242/K13071/K13606/K02259/K00293/K14157/K00826/K03183/K00002/K01610/K13679/K15747/K00750/K10046/K15892/K22389/K00235/K01599/K00166/K01568/K11751/K19970/K13545/K01647/K00021/K11752/K00958/K13811/K09699/K01638/K00695/K13600",68
"ko01200","ko01200","Carbon metabolism","22/266","96/2360",0.00067136341946811,0.0230899394903285,0.0216468182721829,"K00626/K00261/K00074/K01601/K01963/K00616/K01965/K01637/K00134/K03781/K07511/K00140/K00232/K00927/K01807/K00028/K00029/K01610/K00235/K01647/K01595/K01638",22
"ko01120","ko01120","Microbial metabolism in diverse environments","31/266","155/2360",0.000721560609072764,0.0230899394903285,0.0216468182721829,"K00626/K00261/K00074/K01601/K01963/K00616/K01965/K01555/K00860/K01637/K00134/K14085/K07511/K00262/K00275/K00451/K02303/K00927/K01807/K00028/K00029/K00002/K01610/K00235/K01647/K00958/K13811/K01466/K01595/K01638/K14977",31
"ko00196","ko00196","Photosynthesis - antenna proteins","6/266","12/2360",0.00099472883646079,0.0272839909429245,0.0255787415089917,"K08908/K08912/K08913/K08916/K08915/K08909",6
"ko01212","ko01212","Fatty acid metabolism","10/266","31/2360",0.00143159979738089,0.0343583951371413,0.03221099544107,"K00626/K01963/K07513/K07511/K10527/K00059/K01074/K00232/K10258/K01897",10
"ko00640","ko00640","Propanoate metabolism","8/266","22/2360",0.00182153368173744,0.0388593852103988,0.0364306736347488,"K01963/K01965/K07511/K00140/K00167/K00232/K00166/K09699",8
"ko00500","ko00500","Starch and sucrose metabolism","9/266","30/2360",0.00431004135853689,0.0794993226144983,0.0745306149510921,"K00703/K01214/K01187/K01177/K01188/K05349/K13679/K00750/K00695",9
