"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0010287","GO:0010287","plastoglobule","32/446","68/5408",1.13441691018576e-17,2.09980570075384e-14,1.99418551580023e-14,"Me1_v2_0224350/Me1_v2_0114600/Me1_v2_0155120/Me1_v2_0073100/Me1_v2_0031270/Me1_v2_0042170/Me1_v2_0040250/Me1_v2_0065960/Me1_v2_0042270/Me1_v2_0127770/Me1_v2_0073130/Me1_v2_0042180/Me1_v2_0147800/Me1_v2_0077730/Me1_v2_0000370/Me1_v2_0125070/Me1_v2_0124370/Me1_v2_0111850/Me1_v2_0147810/Me1_v2_0122760/Me1_v2_0094600/Me1_v2_0115640/Me1_v2_0096170/Me1_v2_0096160/Me1_v2_0127890/Me1_v2_0140790/Me1_v2_0067870/Me1_v2_0184520/Me1_v2_0122920/Me1_v2_0096330/Me1_v2_0070300/Me1_v2_0196690",32
"GO:0009534","GO:0009534","chloroplast thylakoid","54/446","252/5408",1.8926830561166e-11,1.75167816843592e-08,1.6635687914288e-08,"Me1_v2_0224350/Me1_v2_0114600/Me1_v2_0155120/Me1_v2_0073100/Me1_v2_0215170/Me1_v2_0031270/Me1_v2_0215180/Me1_v2_0042170/Me1_v2_0040250/Me1_v2_0226280/Me1_v2_0227980/Me1_v2_0065960/Me1_v2_0135890/Me1_v2_0042270/Me1_v2_0127770/Me1_v2_0160520/Me1_v2_0195300/Me1_v2_0073130/Me1_v2_0207470/Me1_v2_0042180/Me1_v2_0196600/Me1_v2_0147800/Me1_v2_0000370/Me1_v2_0125070/Me1_v2_0124370/Me1_v2_0099170/Me1_v2_0134500/Me1_v2_0111850/Me1_v2_0147810/Me1_v2_0122760/Me1_v2_0158640/Me1_v2_0134820/Me1_v2_0094600/Me1_v2_0171870/Me1_v2_0185800/Me1_v2_0189820/Me1_v2_0078350/Me1_v2_0081390/Me1_v2_0215600/Me1_v2_0122130/Me1_v2_0032910/Me1_v2_0007500/Me1_v2_0127890/Me1_v2_0081400/Me1_v2_0140790/Me1_v2_0067870/Me1_v2_0184520/Me1_v2_0217150/Me1_v2_0122920/Me1_v2_0202920/Me1_v2_0070300/Me1_v2_0233210/Me1_v2_0134740/Me1_v2_0196690",54
"GO:0031976","GO:0031976","plastid thylakoid","54/446","255/5408",3.07798389323528e-11,1.89911606212617e-08,1.80359056200102e-08,"Me1_v2_0224350/Me1_v2_0114600/Me1_v2_0155120/Me1_v2_0073100/Me1_v2_0215170/Me1_v2_0031270/Me1_v2_0215180/Me1_v2_0042170/Me1_v2_0040250/Me1_v2_0226280/Me1_v2_0227980/Me1_v2_0065960/Me1_v2_0135890/Me1_v2_0042270/Me1_v2_0127770/Me1_v2_0160520/Me1_v2_0195300/Me1_v2_0073130/Me1_v2_0207470/Me1_v2_0042180/Me1_v2_0196600/Me1_v2_0147800/Me1_v2_0000370/Me1_v2_0125070/Me1_v2_0124370/Me1_v2_0099170/Me1_v2_0134500/Me1_v2_0111850/Me1_v2_0147810/Me1_v2_0122760/Me1_v2_0158640/Me1_v2_0134820/Me1_v2_0094600/Me1_v2_0171870/Me1_v2_0185800/Me1_v2_0189820/Me1_v2_0078350/Me1_v2_0081390/Me1_v2_0215600/Me1_v2_0122130/Me1_v2_0032910/Me1_v2_0007500/Me1_v2_0127890/Me1_v2_0081400/Me1_v2_0140790/Me1_v2_0067870/Me1_v2_0184520/Me1_v2_0217150/Me1_v2_0122920/Me1_v2_0202920/Me1_v2_0070300/Me1_v2_0233210/Me1_v2_0134740/Me1_v2_0196690",54
"GO:0009535","GO:0009535","chloroplast thylakoid membrane","47/446","207/5408",5.24848663887928e-11,2.42873719214139e-08,2.306571759718e-08,"Me1_v2_0224350/Me1_v2_0114600/Me1_v2_0155120/Me1_v2_0073100/Me1_v2_0031270/Me1_v2_0042170/Me1_v2_0040250/Me1_v2_0226280/Me1_v2_0227980/Me1_v2_0065960/Me1_v2_0135890/Me1_v2_0042270/Me1_v2_0127770/Me1_v2_0160520/Me1_v2_0195300/Me1_v2_0073130/Me1_v2_0207470/Me1_v2_0042180/Me1_v2_0196600/Me1_v2_0147800/Me1_v2_0000370/Me1_v2_0125070/Me1_v2_0124370/Me1_v2_0099170/Me1_v2_0111850/Me1_v2_0147810/Me1_v2_0122760/Me1_v2_0158640/Me1_v2_0134820/Me1_v2_0171870/Me1_v2_0185800/Me1_v2_0189820/Me1_v2_0078350/Me1_v2_0081390/Me1_v2_0215600/Me1_v2_0032910/Me1_v2_0127890/Me1_v2_0081400/Me1_v2_0140790/Me1_v2_0067870/Me1_v2_0184520/Me1_v2_0217150/Me1_v2_0122920/Me1_v2_0202920/Me1_v2_0070300/Me1_v2_0134740/Me1_v2_0196690",47
"GO:0055035","GO:0055035","plastid thylakoid membrane","47/446","212/5408",1.26500984965417e-10,4.68306646341972e-08,4.44750831352097e-08,"Me1_v2_0224350/Me1_v2_0114600/Me1_v2_0155120/Me1_v2_0073100/Me1_v2_0031270/Me1_v2_0042170/Me1_v2_0040250/Me1_v2_0226280/Me1_v2_0227980/Me1_v2_0065960/Me1_v2_0135890/Me1_v2_0042270/Me1_v2_0127770/Me1_v2_0160520/Me1_v2_0195300/Me1_v2_0073130/Me1_v2_0207470/Me1_v2_0042180/Me1_v2_0196600/Me1_v2_0147800/Me1_v2_0000370/Me1_v2_0125070/Me1_v2_0124370/Me1_v2_0099170/Me1_v2_0111850/Me1_v2_0147810/Me1_v2_0122760/Me1_v2_0158640/Me1_v2_0134820/Me1_v2_0171870/Me1_v2_0185800/Me1_v2_0189820/Me1_v2_0078350/Me1_v2_0081390/Me1_v2_0215600/Me1_v2_0032910/Me1_v2_0127890/Me1_v2_0081400/Me1_v2_0140790/Me1_v2_0067870/Me1_v2_0184520/Me1_v2_0217150/Me1_v2_0122920/Me1_v2_0202920/Me1_v2_0070300/Me1_v2_0134740/Me1_v2_0196690",47
"GO:0042651","GO:0042651","thylakoid membrane","47/446","219/5408",4.09815228033296e-10,1.26427997848272e-07,1.20068672072913e-07,"Me1_v2_0224350/Me1_v2_0114600/Me1_v2_0155120/Me1_v2_0073100/Me1_v2_0031270/Me1_v2_0042170/Me1_v2_0040250/Me1_v2_0226280/Me1_v2_0227980/Me1_v2_0065960/Me1_v2_0135890/Me1_v2_0042270/Me1_v2_0127770/Me1_v2_0160520/Me1_v2_0195300/Me1_v2_0073130/Me1_v2_0207470/Me1_v2_0042180/Me1_v2_0196600/Me1_v2_0147800/Me1_v2_0000370/Me1_v2_0125070/Me1_v2_0124370/Me1_v2_0099170/Me1_v2_0111850/Me1_v2_0147810/Me1_v2_0122760/Me1_v2_0158640/Me1_v2_0134820/Me1_v2_0171870/Me1_v2_0185800/Me1_v2_0189820/Me1_v2_0078350/Me1_v2_0081390/Me1_v2_0215600/Me1_v2_0032910/Me1_v2_0127890/Me1_v2_0081400/Me1_v2_0140790/Me1_v2_0067870/Me1_v2_0184520/Me1_v2_0217150/Me1_v2_0122920/Me1_v2_0202920/Me1_v2_0070300/Me1_v2_0134740/Me1_v2_0196690",47
"GO:0034357","GO:0034357","photosynthetic membrane","47/446","220/5408",4.82277676079394e-10,1.27527996917565e-07,1.21113341210915e-07,"Me1_v2_0224350/Me1_v2_0114600/Me1_v2_0155120/Me1_v2_0073100/Me1_v2_0031270/Me1_v2_0042170/Me1_v2_0040250/Me1_v2_0226280/Me1_v2_0227980/Me1_v2_0065960/Me1_v2_0135890/Me1_v2_0042270/Me1_v2_0127770/Me1_v2_0160520/Me1_v2_0195300/Me1_v2_0073130/Me1_v2_0207470/Me1_v2_0042180/Me1_v2_0196600/Me1_v2_0147800/Me1_v2_0000370/Me1_v2_0125070/Me1_v2_0124370/Me1_v2_0099170/Me1_v2_0111850/Me1_v2_0147810/Me1_v2_0122760/Me1_v2_0158640/Me1_v2_0134820/Me1_v2_0171870/Me1_v2_0185800/Me1_v2_0189820/Me1_v2_0078350/Me1_v2_0081390/Me1_v2_0215600/Me1_v2_0032910/Me1_v2_0127890/Me1_v2_0081400/Me1_v2_0140790/Me1_v2_0067870/Me1_v2_0184520/Me1_v2_0217150/Me1_v2_0122920/Me1_v2_0202920/Me1_v2_0070300/Me1_v2_0134740/Me1_v2_0196690",47
"GO:0016054","GO:0016054","organic acid catabolic process","24/446","71/5408",7.34508908921527e-10,1.51063998934861e-07,1.43465482795199e-07,"Me1_v2_0185340/Me1_v2_0080830/Me1_v2_0133400/Me1_v2_0199720/Me1_v2_0159980/Me1_v2_0190930/Me1_v2_0039210/Me1_v2_0072050/Me1_v2_0199730/Me1_v2_0102850/Me1_v2_0115590/Me1_v2_0120640/Me1_v2_0085320/Me1_v2_0052020/Me1_v2_0078830/Me1_v2_0228210/Me1_v2_0036840/Me1_v2_0181120/Me1_v2_0001920/Me1_v2_0197960/Me1_v2_0050320/Me1_v2_0107080/Me1_v2_0053830/Me1_v2_0120920",24
"GO:0046395","GO:0046395","carboxylic acid catabolic process","24/446","71/5408",7.34508908921527e-10,1.51063998934861e-07,1.43465482795199e-07,"Me1_v2_0185340/Me1_v2_0080830/Me1_v2_0133400/Me1_v2_0199720/Me1_v2_0159980/Me1_v2_0190930/Me1_v2_0039210/Me1_v2_0072050/Me1_v2_0199730/Me1_v2_0102850/Me1_v2_0115590/Me1_v2_0120640/Me1_v2_0085320/Me1_v2_0052020/Me1_v2_0078830/Me1_v2_0228210/Me1_v2_0036840/Me1_v2_0181120/Me1_v2_0001920/Me1_v2_0197960/Me1_v2_0050320/Me1_v2_0107080/Me1_v2_0053830/Me1_v2_0120920",24
"GO:0009579","GO:0009579","thylakoid","59/446","318/5408",9.61465055268212e-10,1.77967181730146e-07,1.69015436031359e-07,"Me1_v2_0224350/Me1_v2_0114600/Me1_v2_0155120/Me1_v2_0073100/Me1_v2_0215170/Me1_v2_0031270/Me1_v2_0215180/Me1_v2_0040030/Me1_v2_0042170/Me1_v2_0040250/Me1_v2_0226280/Me1_v2_0227980/Me1_v2_0065960/Me1_v2_0135890/Me1_v2_0042270/Me1_v2_0127770/Me1_v2_0160520/Me1_v2_0195300/Me1_v2_0073130/Me1_v2_0207470/Me1_v2_0057530/Me1_v2_0042180/Me1_v2_0196600/Me1_v2_0147800/Me1_v2_0000370/Me1_v2_0125070/Me1_v2_0124370/Me1_v2_0099170/Me1_v2_0134500/Me1_v2_0111850/Me1_v2_0147810/Me1_v2_0122760/Me1_v2_0158640/Me1_v2_0134820/Me1_v2_0094600/Me1_v2_0171870/Me1_v2_0185800/Me1_v2_0189820/Me1_v2_0078350/Me1_v2_0111760/Me1_v2_0081390/Me1_v2_0215600/Me1_v2_0122130/Me1_v2_0072820/Me1_v2_0032910/Me1_v2_0007500/Me1_v2_0127890/Me1_v2_0081400/Me1_v2_0140790/Me1_v2_0067870/Me1_v2_0184520/Me1_v2_0217150/Me1_v2_0122920/Me1_v2_0202920/Me1_v2_0070300/Me1_v2_0188630/Me1_v2_0233210/Me1_v2_0134740/Me1_v2_0196690",59
