term	name
GO:0000166	nucleotide binding
GO:0003674	molecular_function
GO:0003824	catalytic activity
GO:0004457	lactate dehydrogenase activity
GO:0004458	D-lactate dehydrogenase (cytochrome) activity
GO:0005488	binding
GO:0005575	cellular_component
GO:0005622	intracellular anatomical structure
GO:0005737	cytoplasm
GO:0005739	mitochondrion
GO:0006082	organic acid metabolic process
GO:0006089	lactate metabolic process
GO:0006091	generation of precursor metabolites and energy
GO:0006807	nitrogen compound metabolic process
GO:0008150	biological_process
GO:0008152	metabolic process
GO:0009853	photorespiration
GO:0009987	cellular process
GO:0015980	energy derivation by oxidation of organic compounds
GO:0016491	oxidoreductase activity
GO:0016614	oxidoreductase activity, acting on CH-OH group of donors
GO:0016898	oxidoreductase activity, acting on the CH-OH group of donors, cytochrome as acceptor
GO:0019516	lactate oxidation
GO:0019752	carboxylic acid metabolic process
GO:0022900	electron transport chain
GO:0022904	respiratory electron transport chain
GO:0032787	monocarboxylic acid metabolic process
GO:0036094	small molecule binding
GO:0043094	cellular metabolic compound salvage
GO:0043167	ion binding
GO:0043168	anion binding
GO:0043226	organelle
GO:0043227	membrane-bounded organelle
GO:0043229	intracellular organelle
GO:0043231	intracellular membrane-bounded organelle
GO:0043436	oxoacid metabolic process
GO:0044237	cellular metabolic process
GO:0044281	small molecule metabolic process
GO:0045333	cellular respiration
GO:0047545	2-hydroxyglutarate dehydrogenase activity
GO:0050660	flavin adenine dinucleotide binding
GO:0051990	(R)-2-hydroxyglutarate dehydrogenase activity
GO:0071704	organic substance metabolic process
GO:0071949	FAD binding
GO:0097159	organic cyclic compound binding
GO:1901265	nucleoside phosphate binding
GO:1901363	heterocyclic compound binding
GO:1901615	organic hydroxy compound metabolic process
GO:0005852	eukaryotic translation initiation factor 3 complex
GO:0032991	protein-containing complex
GO:0001558	regulation of cell growth
GO:0003682	chromatin binding
GO:0005515	protein binding
GO:0005634	nucleus
GO:0005829	cytosol
GO:0006355	regulation of transcription, DNA-templated
GO:0009889	regulation of biosynthetic process
GO:0009891	positive regulation of biosynthetic process
GO:0009893	positive regulation of metabolic process
GO:0010468	regulation of gene expression
GO:0010556	regulation of macromolecule biosynthetic process
GO:0010557	positive regulation of macromolecule biosynthetic process
GO:0010604	positive regulation of macromolecule metabolic process
GO:0010628	positive regulation of gene expression
GO:0019219	regulation of nucleobase-containing compound metabolic process
GO:0019222	regulation of metabolic process
GO:0030308	negative regulation of cell growth
GO:0031323	regulation of cellular metabolic process
GO:0031325	positive regulation of cellular metabolic process
GO:0031326	regulation of cellular biosynthetic process
GO:0031328	positive regulation of cellular biosynthetic process
GO:0040008	regulation of growth
GO:0042393	histone binding
GO:0045893	positive regulation of transcription, DNA-templated
GO:0045926	negative regulation of growth
GO:0045935	positive regulation of nucleobase-containing compound metabolic process
GO:0048518	positive regulation of biological process
GO:0048519	negative regulation of biological process
GO:0048522	positive regulation of cellular process
GO:0048523	negative regulation of cellular process
GO:0050789	regulation of biological process
GO:0050794	regulation of cellular process
GO:0051128	regulation of cellular component organization
GO:0051171	regulation of nitrogen compound metabolic process
GO:0051173	positive regulation of nitrogen compound metabolic process
GO:0051252	regulation of RNA metabolic process
GO:0051254	positive regulation of RNA metabolic process
GO:0060255	regulation of macromolecule metabolic process
GO:0061649	ubiquitin modification-dependent histone binding
GO:0065007	biological regulation
GO:0080090	regulation of primary metabolic process
GO:0140030	modification-dependent protein binding
GO:0140035	ubiquitination-like modification-dependent protein binding
GO:0140036	ubiquitin-dependent protein binding
GO:1902680	positive regulation of RNA biosynthetic process
